ptnum,in1_ptnum,name,parent_idx,child_indices,depth,child_count,is_leaf,P_x,P_y,P_z,pos_root_x,pos_root_y,pos_root_z,vec_parent_x,vec_parent_y,vec_parent_z,bone_len,scale_x,scale_y,scale_z,orient_0,orient_1,orient_2,orient_3,rotate_x,rotate_y,rotate_z,translate_x,translate_y,translate_z,localtransform_0,localtransform_1,localtransform_2,localtransform_3,localtransform_4,localtransform_5,localtransform_6,localtransform_7,localtransform_8,localtransform_9,localtransform_10,localtransform_11,localtransform_12,localtransform_13,localtransform_14,localtransform_15,localtransform_clean_0,localtransform_clean_1,localtransform_clean_2,localtransform_clean_3,localtransform_clean_4,localtransform_clean_5,localtransform_clean_6,localtransform_clean_7,localtransform_clean_8,localtransform_clean_9,localtransform_clean_10,localtransform_clean_11,localtransform_clean_12,localtransform_clean_13,localtransform_clean_14,localtransform_clean_15,transform_0,transform_1,transform_2,transform_3,transform_4,transform_5,transform_6,transform_7,transform_8
0,0,GenHuman,-1,,0,0,1,0.0,1.8073817491531372,0.05502691492438316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.8073817491531372,0.05502691492438316,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.8073817491531372,0.05502691492438316,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,99,rig,-1,2,0,1,0,0.0,0.0,0.0,0.0,-1.8073817491531372,-0.05502691492438316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-4.371138828673793e-08,-1.0,0.0,0.0,1.0,-4.371138828673793e-08,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-4.371138828673789e-08,-0.9999999999999991,0.0,0.0,0.9999999999999991,-4.371138828673789e-08,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-4.371138828673793e-08,-1.0,0.0,1.0,-4.371138828673793e-08
2,98,root,1,3|10,1,2,0,0.0,0.0,0.0,0.0,-1.8073817491531372,-0.05502691492438316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.552713678800501e-15,1.0,0.0,0.0,-1.0,3.552713678800501e-15,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.552713678800501e-15,1.0,0.0,0.0,-1.0,3.552713678800501e-15,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,-4.371139183945161e-08,0.0,4.371139183945161e-08,1.0
3,78,DEF-spine,2,4,2,1,0,3.277973448234661e-08,0.9999880790710449,0.0014184500323608518,3.277973448234661e-08,-0.8073936700820923,-0.05360846489202231,3.277973448234661e-08,0.9999880790710449,0.0014184500323608518,0.9999890850827792,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.979372766276356e-07,-2.3086994360710378e-07,0.0,2.979372766276356e-07,-0.2496395707130432,0.9683388471603394,0.0,2.308699720288132e-07,-0.9683387875556946,-0.24963955581188202,0.0,3.277973448234661e-08,0.9999880790710449,0.0014184936881065369,1.0,0.999999999999929,2.979372766276144e-07,-2.3086994360708737e-07,0.0,2.979372631847407e-07,-0.24963956594671294,0.9683388286719933,0.0,2.308699609550924e-07,-0.9683388286719933,-0.24963956594678396,0.0,3.277973448234661e-08,0.9999880790710449,0.0014184936881065369,1.0,1.0,2.979372766276356e-07,-2.308699578179585e-07,2.979372766276356e-07,-0.24963952600955963,0.9683388471603394,2.308699720288132e-07,-0.9683387875556946,-0.24963951110839844
4,28,DEF-spine.001,3,5,3,1,0,-2.363153228657211e-09,1.1473881006240845,0.03941843658685684,-2.363153228657211e-09,-0.6599936485290527,-0.015608478337526321,-3.514288771100382e-08,0.14740002155303955,0.03799998655449599,0.15221946436635372,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.091007520581115e-08,2.8660417683568085e-07,0.0,6.334430757704013e-09,0.9734313488006592,-0.22897852957248688,0.0,-2.929366473836126e-07,0.22897854447364807,0.973431408405304,0.0,2.0155613153971172e-14,-8.410554919180413e-09,-0.1522194743156433,1.0,0.9999999999999571,6.091007520580855e-08,2.8660417683566856e-07,0.0,6.33442708501936e-09,0.9734314666671317,-0.22897855729800812,0.0,-2.9293662535560996e-07,0.22897855729800004,0.9734314666670894,0.0,2.0155613153971172e-14,-8.410554919180413e-09,-0.1522194743156433,1.0,1.0,5.201769237572762e-09,-2.4343609084098716e-07,2.434916552829236e-07,-0.021278150379657745,0.9997735023498535,2.0694466973392167e-11,-0.9997735023498535,-0.021278124302625656
5,24,DEF-spine.002,4,6,4,1,0,-2.3659596504188585e-09,1.2829879522323608,0.04230440407991409,-2.3659596504188585e-09,-0.5243937969207764,-0.01272251084446907,-2.8064217616474707e-12,0.13559985160827637,0.002885967493057251,0.1356305591102446,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999445080757141,-0.0006274311454035342,0.010502147488296032,0.0,0.0012272713938727975,0.9983615875244141,-0.05720736086368561,0.0,-0.010449050925672054,0.057217102497816086,0.9983072876930237,0.0,-4.302667703513953e-16,3.3302638424714814e-09,-0.13563057780265808,1.0,0.9999446540663992,-0.0006274312370077202,0.010502149021596824,0.0,0.0012272713699276437,0.998361563675385,-0.057207359497050345,0.0,-0.010449048234818141,0.057217082289147084,0.9983070784509662,0.0,-4.302667703513953e-16,3.3302638424714814e-09,-0.13563057780265808,1.0,0.9999445080757141,-0.010486412793397903,-0.0008509984472766519,0.0012275144690647721,0.03595111519098282,0.999352753162384,-0.010449036955833435,-0.999298632144928,0.03596203774213791
6,13,DEF-spine.003,5,7,5,1,0,0.001815585419535637,1.4566223621368408,0.036055777221918106,0.001815585419535637,-0.3507593870162964,-0.018971137702465057,0.0018155877854952873,0.17363440990447998,-0.006248626857995987,0.17375629484854435,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999944806098938,-0.0019443165510892868,0.010339746251702309,0.0,0.0016849649837240577,0.9996854066848755,0.025032823905348778,0.0,-0.010385156609117985,-0.02501400001347065,0.9996326565742493,0.0,2.023502032599822e-09,2.932985410097899e-09,-0.17375627160072327,1.0,0.9999446531255952,-0.0019443162536442675,0.010339744669909456,0.0,0.0016849645030531347,0.999685209887965,0.025032818975868426,0.0,-0.01038516153733572,-0.025014011384841148,0.9996331565400793,0.0,2.023502032599822e-09,2.932985410097899e-09,-0.17375627160072327,1.0,0.9997788667678833,-0.020888227969408035,-0.002422171179205179,0.002650430891662836,0.010906869545578957,0.9999371767044067,-0.02086048386991024,-0.9997219443321228,0.01095985621213913
7,3,DEF-spine.004,6,8,6,1,0,0.005582185462117195,1.6371338367462158,0.03407684713602066,0.005582185462117195,-0.1702479124069214,-0.020950067788362503,0.0037666000425815582,0.180511474609375,-0.0019789300858974457,0.18056161249229216,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998847246170044,0.0021998402662575245,-0.014997602440416813,0.0,0.006884011905640364,0.8155925869941711,0.5785852074623108,0.0,0.01350474450737238,-0.5786224007606506,0.815484344959259,0.0,-3.986493801733104e-09,-3.7384963180731035e-11,-0.18056167662143707,1.0,0.9998851096235495,0.002199841113308069,-0.014997608215257611,0.0,0.006884012784337597,0.8155927909419363,0.578585352157768,0.0,0.013504736986970151,-0.5786221219955382,0.8154839434448071,0.0,-3.986493801733104e-09,-3.7384963180731035e-11,-0.18056167662143707,1.0,0.9999822974205017,-0.005868393927812576,-0.0003865614125970751,-0.0030254065059125423,-0.5696725845336914,0.8218658566474915,-0.005043238867074251,-0.8218506574630737,-0.5696811676025391
8,2,DEF-spine.005,7,9,7,1,0,0.005950015503913164,1.6970754861831665,0.07562650740146637,0.005950015503913164,-0.1103062629699707,0.020599592477083206,0.000367830041795969,0.059941649436950684,0.04154966026544571,0.07293497723545196,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000007152557373,-0.00037750735646113753,0.00012156776210758835,0.0,0.0003965984797105193,0.9519299268722534,-0.30631715059280396,0.0,-8.716311583611969e-08,0.3063165843486786,0.9519283175468445,0.0,1.594670395732578e-09,-1.3237793083931138e-08,-0.07293495535850525,1.0,0.9999999213548594,-0.0003775070567579302,0.00012156766559490432,0.0,0.0003965983707089115,0.9519294796022364,-0.30631700666784345,0.0,-8.701302413911414e-08,0.3063170307910375,0.9519295544562922,0.0,1.594670395732578e-09,-1.3237793083931138e-08,-0.07293495535850525,1.0,0.999983549118042,-0.005753253120929003,-0.0007660769624635577,-0.0009385530138388276,-0.2905437648296356,0.956861674785614,-0.0057276212610304356,-0.9568430781364441,-0.2905444800853729
9,1,DEF-spine.006,8,,8,0,1,0.006273485254496336,1.7511135339736938,0.09203512966632843,0.006273485254496336,-0.05626821517944336,0.03700821474194527,0.00032346975058317184,0.054038047790527344,0.01640862226486206,0.05647528774890648,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999825358390808,-0.0009384876466356218,-0.005727407056838274,0.0,-0.0007660771952942014,0.9568608403205872,-0.2905443608760834,0.0,0.005753013771027327,0.29054415225982666,0.9568449854850769,0.0,3.187266284232493e-10,2.0135818346034284e-08,-0.056475356221199036,1.0,0.9999831578618898,-0.000938488230406539,-0.005727410619478319,0.0,-0.0007660773992046585,0.956861184670914,-0.2905444654361765,0.0,0.005753009471672409,0.29054395968599406,0.9568443501280668,0.0,3.187266284232493e-10,2.0135818346034284e-08,-0.056475356221199036,1.0,0.9999997615814209,-2.50953036129431e-07,8.076601193396371e-11,-1.1074029471203062e-09,-1.7545248454098328e-07,1.0000001192092896,-2.176867326397769e-07,-0.9999994039535522,1.2349750022622175e-07
