ptnum,in1_ptnum,name,parent_idx,child_indices,depth,child_count,is_leaf,P_x,P_y,P_z,pos_root_x,pos_root_y,pos_root_z,vec_parent_x,vec_parent_y,vec_parent_z,bone_len,scale_x,scale_y,scale_z,orient_0,orient_1,orient_2,orient_3,rotate_x,rotate_y,rotate_z,translate_x,translate_y,translate_z,localtransform_0,localtransform_1,localtransform_2,localtransform_3,localtransform_4,localtransform_5,localtransform_6,localtransform_7,localtransform_8,localtransform_9,localtransform_10,localtransform_11,localtransform_12,localtransform_13,localtransform_14,localtransform_15,localtransform_clean_0,localtransform_clean_1,localtransform_clean_2,localtransform_clean_3,localtransform_clean_4,localtransform_clean_5,localtransform_clean_6,localtransform_clean_7,localtransform_clean_8,localtransform_clean_9,localtransform_clean_10,localtransform_clean_11,localtransform_clean_12,localtransform_clean_13,localtransform_clean_14,localtransform_clean_15,transform_0,transform_1,transform_2,transform_3,transform_4,transform_5,transform_6,transform_7,transform_8
0,0,Head_To_HeadEnd,20,,11,0,1,0.0006170489941723645,1.4498740434646606,-0.0005405579577200115,-0.0030184490024112165,1.4390827296301723,0.032391697459388524,0.0002798076020553708,0.052547574043273926,0.006318472151178867,0.052926826094644545,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998530745506287,-0.013865679502487183,-0.010069822892546654,0.0,0.014551641419529915,0.9973282217979431,0.07158727943897247,0.0,0.009050313383340836,-0.0717233195900917,0.9973834156990051,0.0,9.742925577427286e-09,1.2651372571781394e-06,-1.0377806425094604,1.0,0.9998531599933351,-0.013865680687382457,-0.010069823753066007,0.0,0.014551642198390061,0.9973281864545692,0.07158727689031168,0.0,0.00905031273892217,-0.07172329748635145,0.9973835072012232,0.0,9.742925577427286e-09,1.2651372571781394e-06,-1.0377806425094604,1.0,0.05099906399846077,0.0002647783840075135,-0.00015862252621445805,0.00020608364138752222,-0.00969876442104578,0.050068873912096024,0.00022977862681727856,-0.05006859824061394,-0.009699655696749687
1,28,Hips,24,2|3|4,4,3,0,-0.0026775007136166096,0.9351003766059875,0.010210195556282997,-0.0063129987102001905,0.9243090627714992,0.04314245097339153,-0.006104234140366316,0.8937431089580059,0.04171576909720898,0.8947369512184763,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999403953552,3.473575940771134e-11,1.239006786057928e-09,0.0,1.0950335083137475e-09,1.0000001192092896,-6.7960996830152e-09,0.0,-1.1069583027989438e-09,4.568022404782823e-09,1.0,0.0,5.8533560221007974e-09,17.54386329650879,-1.1888241857604953e-07,1.0,1.0,3.4735761478124065e-11,1.2390068599084916e-09,0.0,-3.4735753057711026e-11,1.0,-6.796098874256874e-09,0.0,-1.2390068601445592e-09,6.796098874213836e-09,1.0,0.0,5.8533560221007974e-09,17.54386329650879,-1.1888241857604953e-07,1.0,0.05099336802959442,0.0003822765138465911,-0.0007282998994924128,-0.00034794129896909,0.05094335600733757,0.002377798780798912,0.0007453139987774193,-0.002372520975768566,0.05093934014439583
2,27,Hips_To_LHipJoint,1,16,5,1,0,-0.0026775002479553223,0.9351003766059875,0.01021020021289587,-0.006312998244538903,0.9243090627714992,0.043142455630004406,4.656612873077393e-10,0.0,4.6566128730773926e-09,4.679838019013819e-09,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998699426651001,-0.006822376977652311,0.014613998122513294,0.0,0.007495617959648371,0.9988892078399658,-0.04652000591158867,0.0,-0.014280388131737709,0.04662350192666054,0.998810350894928,0.0,7.825538439476531e-09,4.194717462269182e-09,9.13309463612677e-08,1.0,0.9998699346592114,-0.006822376923026016,0.014613998005500032,0.0,0.007495617081042847,0.9988892354278209,-0.046520007211924605,0.0,-0.01428038827059599,0.04662349750440545,0.9988104524840025,0.0,7.825538439476531e-09,4.194717462269182e-09,9.13309463612677e-08,1.0,0.05100000277161598,0.0,0.0,0.0,0.05100000277161598,-3.4924597935859225e-11,0.0,0.0,0.05100000277161598
3,26,Hips_To_LowerBack,1,17,5,1,0,-0.0026775002479553223,0.9351003766059875,0.01021020021289587,-0.006312998244538903,0.9243090627714992,0.043142455630004406,4.656612873077393e-10,0.0,4.6566128730773926e-09,4.679838019013819e-09,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998699426651001,-0.006822376977652311,0.014613998122513294,0.0,0.007495617959648371,0.9988892078399658,-0.04652000591158867,0.0,-0.014280388131737709,0.04662350192666054,0.998810350894928,0.0,7.825538439476531e-09,4.194717462269182e-09,9.13309463612677e-08,1.0,0.9998699346592114,-0.006822376923026016,0.014613998005500032,0.0,0.007495617081042847,0.9988892354278209,-0.046520007211924605,0.0,-0.01428038827059599,0.04662349750440545,0.9988104524840025,0.0,7.825538439476531e-09,4.194717462269182e-09,9.13309463612677e-08,1.0,0.05100000277161598,0.0,0.0,0.0,0.05100000277161598,-3.4924597935859225e-11,0.0,0.0,0.05100000277161598
4,25,Hips_To_RHipJoint,1,22,5,1,0,-0.0026775002479553223,0.9351003766059875,0.01021020021289587,-0.006312998244538903,0.9243090627714992,0.043142455630004406,4.656612873077393e-10,0.0,4.6566128730773926e-09,4.679838019013819e-09,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998699426651001,-0.006822376977652311,0.014613998122513294,0.0,0.007495617959648371,0.9988892078399658,-0.04652000591158867,0.0,-0.014280388131737709,0.04662350192666054,0.998810350894928,0.0,7.825538439476531e-09,4.194717462269182e-09,9.13309463612677e-08,1.0,0.9998699346592114,-0.006822376923026016,0.014613998005500032,0.0,0.007495617081042847,0.9988892354278209,-0.046520007211924605,0.0,-0.01428038827059599,0.04662349750440545,0.9988104524840025,0.0,7.825538439476531e-09,4.194717462269182e-09,9.13309463612677e-08,1.0,0.05100000277161598,0.0,0.0,0.0,0.05100000277161598,-3.4924597935859225e-11,0.0,0.0,0.05100000277161598
5,2,LeftArm_To_LeftForeArm,13,8,10,1,0,0.1415897011756897,1.34282386302948,-0.04768919199705124,0.13795420317910612,1.3320325491949916,-0.014756936579942703,0.14002913073636591,0.06298971176147461,-0.028132976964116096,0.15610037038854008,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9746318459510803,0.10585836321115494,-0.1971966028213501,0.0,-0.22273463010787964,0.37234964966773987,-0.9009690284729004,0.0,-0.021949147805571556,0.9220357537269592,0.386482298374176,0.0,-5.727453071813216e-07,7.064523970257142e-07,-3.0607919692993164,1.0,0.9746319783216885,0.1058583775884154,-0.1971966296038058,0.0,-0.2227347015478436,0.3723496087328412,-0.9009689348711714,0.0,-0.021949021826612805,0.9220356678409186,0.38648216992509027,0.0,-5.727453071813216e-07,7.064523970257142e-07,-3.0607919692993164,1.0,0.01999441161751747,0.0014195943949744105,0.04689571633934975,0.031477998942136765,0.03739450126886368,-0.014552909880876541,-0.034790217876434326,0.034650202840566635,0.013784214854240417
6,15,LeftFingerBase_To_LeftHandIndex1,9,11,13,1,0,0.5135307908058167,1.0934970378875732,-0.03407662361860275,0.5098952928092331,1.0827057240530849,-0.001144368201494217,-3.88026237487793e-05,-5.245208740234375e-06,3.255903720855713e-05,5.092393080336758e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5232676863670349,0.7051695585250854,-0.47846317291259766,0.0,0.0069062840193510056,-0.5649561882019043,-0.8250918984413147,0.0,-0.8521402478218079,0.428439736366272,-0.3004934787750244,0.0,-8.032685627767933e-07,-8.710478027751378e-07,-0.00099850760307163,1.0,0.5232676377816464,0.7051694930501138,-0.4784631284873069,0.0,0.006906275644271435,-0.5649562476633175,-0.8250919594705245,0.0,-0.8521404124949955,0.4284395223338175,-0.3004934160597022,0.0,-8.032685627767933e-07,-8.710478027751378e-07,-0.00099850760307163,1.0,-0.023070918396115303,-0.04536495357751846,0.003279387252405286,-0.01860702969133854,0.012769009917974472,0.04573545232415199,-0.041503146290779114,0.019492914900183678,-0.022327445447444916
7,35,LeftFoot_To_LeftToeBase,12,14,9,1,0,0.08505260944366455,0.07570891082286835,-0.06650029867887497,0.08141711144708097,0.06491759698837996,-0.033568043261766434,-0.004880785942077637,-0.37468473613262177,-0.03628513030707836,0.376469234126225,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8713704347610474,0.24931901693344116,0.4225562810897827,0.0,0.23698870837688446,0.5402334928512573,-0.8074552416801453,0.0,-0.4295930564403534,0.8037336468696594,0.4116576015949249,0.0,2.6569145461508015e-07,-8.897821146547358e-08,-7.381748676300049,1.0,0.8713703400131468,0.24931898982389913,0.42255623514339885,0.0,0.2369885936617091,0.5402334973471463,-0.8074553701712043,0.0,-0.42959298995632855,0.8037336683611439,0.4116576894983504,0.0,2.6569145461508015e-07,-8.897821146547358e-08,-7.381748676300049,1.0,0.04648297280073166,0.020968109369277954,0.000819830282125622,0.018053321167826653,-0.03894459456205368,-0.027538994327187538,-0.010696325451135635,0.02539009414613247,-0.04291773587465286
8,11,LeftForeArm_To_LeftHand,5,9|10,11,2,0,0.3185003995895386,1.1666251420974731,-0.11778285354375839,0.314864901592955,1.1558338282629848,-0.08485059812664986,0.17691069841384888,-0.17619872093200684,-0.07009366154670715,0.2593385930793474,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7384554147720337,-0.17452232539653778,0.651326060295105,0.0,6.74927989052776e-08,0.9659258723258972,0.258819043636322,0.0,-0.6743023991584778,-0.19112633168697357,0.7132930755615234,0.0,6.792740236960526e-07,-3.387672506960371e-07,-5.0850701332092285,1.0,0.7384553857922779,-0.1745223185476282,0.6513260347346314,0.0,6.124367650692045e-08,0.9659258312163794,0.2588190267135372,0.0,-0.6743023381202043,-0.19112626433252605,0.7132931430260067,0.0,6.792740236960526e-07,-3.387672506960371e-07,-5.0850701332092285,1.0,-0.013388407416641712,0.01709071174263954,0.04614822193980217,0.021401043981313705,0.045088447630405426,-0.010489411652088165,-0.044314175844192505,0.016611440107226372,-0.01900826394557953
9,14,LeftHand_To_LeftFingerBase,8,6,12,1,0,0.5135695934295654,1.0935022830963135,-0.03410918265581131,0.5099340954329818,1.082710969261825,-0.001176927238702774,0.19506919384002686,-0.07312285900115967,0.08367367088794708,0.22449994675671067,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010167360305786133,-0.5922335982322693,-0.8057022094726562,0.0,-0.6686979532241821,-0.5950460433959961,0.4458286166191101,0.0,-0.7434648871421814,0.5433042049407959,-0.3899751603603363,0.0,1.3656081137014553e-06,1.1373634123401644e-07,-4.401959419250488,1.0,-0.010167359998529288,-0.5922335803350155,-0.8057021851243975,0.0,-0.6686979855377619,-0.5950460424288124,0.44582867957046796,0.0,-0.7434646117525698,0.5433043288189197,-0.3899753548087674,0.0,1.3656081137014553e-06,1.1373634123401644e-07,-4.401959419250488,1.0,0.023165736347436905,-0.04026053473353386,0.0210579764097929,-0.023538334295153618,-0.030852369964122772,-0.033091966062784195,0.03886251524090767,0.005312350578606129,-0.03259577229619026
