ptnum,in1_ptnum,name,parent_idx,child_indices,depth,child_count,is_leaf,P_x,P_y,P_z,pos_root_x,pos_root_y,pos_root_z,vec_parent_x,vec_parent_y,vec_parent_z,bone_len,scale_x,scale_y,scale_z,orient_0,orient_1,orient_2,orient_3,rotate_x,rotate_y,rotate_z,translate_x,translate_y,translate_z,localtransform_0,localtransform_1,localtransform_2,localtransform_3,localtransform_4,localtransform_5,localtransform_6,localtransform_7,localtransform_8,localtransform_9,localtransform_10,localtransform_11,localtransform_12,localtransform_13,localtransform_14,localtransform_15,localtransform_clean_0,localtransform_clean_1,localtransform_clean_2,localtransform_clean_3,localtransform_clean_4,localtransform_clean_5,localtransform_clean_6,localtransform_clean_7,localtransform_clean_8,localtransform_clean_9,localtransform_clean_10,localtransform_clean_11,localtransform_clean_12,localtransform_clean_13,localtransform_clean_14,localtransform_clean_15,transform_0,transform_1,transform_2,transform_3,transform_4,transform_5,transform_6,transform_7,transform_8
0,133,root,-1,1|132,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07620000094175339,0.0,2.3011761385305363e-08,0.0,0.0,0.07620000094175339,0.0,0.0,-2.3011761385305363e-08,0.0,0.07620000094175339,0.0,0.0,0.0,0.0,1.0,0.9999999999999543,0.0,3.0199161549741057e-07,0.0,0.0,1.0,0.0,0.0,-3.019916154974106e-07,0.0,0.9999999999999545,0.0,0.0,0.0,0.0,1.0,0.07620000094175339,0.0,2.3011761385305363e-08,0.0,0.07620000094175339,0.0,-2.3011761385305363e-08,0.0,0.07620000094175339
1,87,bip001,0,2,1,1,0,-2.1542485129089073e-08,0.988855242729187,0.022229783236980438,-2.1542485129089073e-08,0.988855242729187,0.022229783236980438,-2.1542485129089073e-08,0.988855242729187,0.022229783236980438,0.9891050774997381,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.494084585829114e-06,0.0,-0.9999998807907104,0.0,0.0,1.0,0.0,0.0,0.9999998807907104,0.0,1.494084585829114e-06,0.0,-1.9460992461972637e-07,12.977103233337402,0.2917294204235077,1.0,1.4940847639362297e-06,0.0,-0.9999999999988838,0.0,0.0,1.0,0.0,0.0,0.999999999998884,-0.0,1.49408476393623e-06,0.0,-1.9460992461972637e-07,12.977103233337402,0.2917294204235077,1.0,1.368610043073204e-07,0.0,-0.07619999349117279,0.0,0.07620000094175339,0.0,0.07619999349117279,0.0,1.368610043073204e-07
2,86,bip001_pelvis,1,3|12|21|130|131,2,5,0,-2.154249401087327e-08,0.988855242729187,0.022229783236980438,-2.154249401087327e-08,0.988855242729187,0.022229783236980438,-8.881784197001252e-15,0.0,0.0,8.881784197001252e-15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.286517952192264e-13,-1.0,1.370906943520822e-06,0.0,1.385807991027832e-06,1.3709068298339844e-06,1.0,0.0,-1.0,9.711619529395588e-13,1.385807991027832e-06,0.0,0.0,0.0,-1.1655886217147582e-13,1.0,9.286517952183537e-13,-0.9999999999990603,1.3709069435195338e-06,0.0,1.3858079910251992e-06,1.3709069435195045e-06,0.9999999999981002,0.0,-0.9999999999990399,9.711620020647117e-13,1.38580799102517e-06,0.0,0.0,0.0,-1.1655886217147582e-13,1.0,1.0446309772760287e-07,-0.07620000094175339,1.1686043300575266e-13,0.07619999349117279,1.0446310483303023e-07,3.126244507711817e-08,-3.126244507711817e-08,7.400253776738627e-14,0.07619999349117279
3,85,bip001_l_thigh,2,4|9|11,3,3,0,0.093227319419384,0.988855242729187,0.022229909896850586,0.093227319419384,0.988855242729187,0.022229909896850586,0.09322734096187801,0.0,1.2665987014770508e-07,0.09322734096196406,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9929884076118469,-0.11502499133348465,0.02726624719798565,0.0,0.116095632314682,-0.9923659563064575,0.04161728546023369,0.0,0.022271063178777695,0.04449097067117691,0.9987617135047913,0.0,1.6772443132140324e-06,1.2234560251235962,1.1602578524616547e-06,1.0,-0.992988320964166,-0.11502498129646038,0.027266244818746305,0.0,0.11609562547990157,-0.9923657632136509,0.04161727701110266,0.0,0.022271061339713728,0.044490961769075875,0.9987615101452725,0.0,1.6772443132140324e-06,1.2234560251235962,1.1602578524616547e-06,1.0,-0.008765008300542831,0.07566570490598679,0.00207768427208066,-0.07561826705932617,-0.008846591226756573,0.0031712057534605265,0.003390182740986347,-0.0016970504075288773,0.07610563933849335
4,122,bip001_l_calf,3,5|7|8,4,3,0,0.13740676641464233,0.6074674129486084,0.01175748836249113,0.13740676641464233,0.6074674129486084,0.01175748836249113,0.04417944699525833,-0.3813878297805786,-0.010472421534359455,0.38408094440409274,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9974440336227417,2.8881125047064415e-08,0.0714460089802742,0.0,-3.4713472985004046e-08,0.9999998211860657,5.920741230625026e-09,0.0,-0.07144604623317719,-6.8586398782599645e-09,0.9974444508552551,0.0,-5.040431976318359,-2.566786179158953e-07,7.017155922994789e-08,1.0,0.9974444663098486,2.8881137575577314e-08,0.07144603997325814,0.0,-2.9406459646304336e-08,0.9999999999999997,6.300879272823476e-09,0.0,-0.07144603997325794,-8.38575225492606e-09,0.9974444663098492,0.0,-5.040431976318359,-2.566786179158953e-07,7.017155922994789e-08,1.0,-0.00850039254873991,0.0753510594367981,0.007509817834943533,-0.07561825215816498,-0.008846592158079147,0.003171205520629883,0.00400774460285902,-0.00709872879087925,0.07576270401477814
5,127,bip001_l_foot,4,6,5,1,0,0.19079728424549103,0.13419142365455627,-0.0354112833738327,0.19079728424549103,0.13419142365455627,-0.0354112833738327,0.053390517830848694,-0.4732759892940521,-0.04716877173632383,0.4786079841202227,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9888544678688049,-0.11609716713428497,-0.09321682155132294,0.0,0.12678802013397217,0.9848365187644958,0.11841397732496262,0.0,0.07805576920509338,-0.12891291081905365,0.9885791540145874,0.0,-6.280946731567383,-7.064105034260137e-08,-7.563902926221999e-08,1.0,0.9888539305945322,-0.11609710405521412,-0.09321677090382967,0.0,0.12678802183199311,0.9848364981870124,0.11841397450754207,0.0,0.078055758709235,-0.12891289411356638,0.9885791643887657,0.0,-6.280946731567383,-7.064105034260137e-08,-7.563902926221999e-08,1.0,-1.7563739618253749e-07,0.07620001584291458,-4.409866050991695e-06,-0.07507479190826416,5.76073830416135e-07,0.013046637177467346,0.013046637177467346,4.369439011497889e-06,0.07507480680942535
6,129,bip001_l_toe0,5,,6,0,1,0.2134375274181366,0.020997097715735435,0.09487344324588776,0.2134375274181366,0.020997097715735435,0.09487344324588776,0.02264024317264557,-0.11319432593882084,0.13028472661972046,0.17406793508867688,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.292666026614825e-08,5.569711358788254e-13,-1.0,0.0,2.3662374282196197e-09,1.0,1.3586354263850353e-13,0.0,1.0,-2.3666646420394954e-09,7.292875636721874e-08,0.0,-1.4855890274047852,-3.5685019383890904e-08,1.735311508178711,1.0,7.292666026614805e-08,5.569711358788239e-13,-0.9999999999999973,0.0,2.366237428188897e-09,1.0,5.571436976718599e-13,0.0,0.9999999999999973,-2.3662374282295215e-09,7.292666026614672e-08,0.0,-1.4855890274047852,-3.5685019383890904e-08,1.735311508178711,1.0,-0.013046637177467346,-4.363881998870056e-06,-0.07507480680942535,-0.07507479190826416,5.762541377407615e-07,0.013046637177467346,-1.7450824429943168e-07,0.07620001584291458,-4.404421815706883e-06
7,124,bone_l_calf_twist,4,,5,0,1,0.13740672171115875,0.6074673533439636,0.011757487431168556,0.13740672171115875,0.6074673533439636,0.011757487431168556,-4.470348358154297e-08,-5.960464477539063e-08,-9.313225746154785e-10,7.451162650797371e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000001192092896,1.3160293299563364e-08,-4.318462032415482e-09,0.0,-2.9436830750739773e-09,0.9943901300430298,0.10577922314405441,0.0,8.931125172750853e-09,-0.10577917844057083,0.994389533996582,0.0,-7.092594955793174e-07,6.724851573380874e-07,2.98629565520514e-08,1.0,1.0,1.3160291730734336e-08,-4.3184615176147525e-09,0.0,-1.262965454547807e-08,0.9943896453895906,0.10577917158857061,0.0,5.6863181742705215e-09,-0.10577917158857056,0.9943896453895907,0.0,-7.092594955793174e-07,6.724851573380874e-07,2.98629565520514e-08,1.0,-0.00850039441138506,0.07535106688737869,0.00750981830060482,-0.07477010786533356,-0.009547862224280834,0.011167535558342934,0.01198409590870142,-0.00612311577424407,0.07500219345092773
8,126,bone006,4,,5,0,1,0.17951707541942596,0.3246552348136902,0.04822618514299393,0.17951707541942596,0.3246552348136902,0.04822618514299393,0.04211030900478363,-0.2828121781349182,0.036468696780502796,0.2882463739073977,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9963134527206421,-0.02035747654736042,-0.11282657831907272,0.0,0.016859322786331177,-0.9993650317192078,0.0314408503472805,0.0,-0.11307241022586823,0.029339058324694633,0.9931904673576355,0.0,-3.684579849243164,-0.09760450571775436,0.8506658673286438,1.0,-0.9934441783298121,-0.02029884922885964,-0.11250165004384782,0.0,0.016859311934555424,-0.9993634171847987,0.03144080141814068,0.0,-0.11306824551436953,0.029337980719634154,0.9931539934690878,0.0,-3.684579849243164,-0.09760450571775436,0.8506658673286438,1.0,0.009556272067129612,-0.07409225404262543,-0.016094736754894257,0.07555293291807175,0.009888152591884136,-0.0006605375674553216,0.0027230451814830303,-0.015830066055059433,0.07449068129062653
9,83,bone_l_thigh_twist,3,10,4,1,0,0.09322738647460938,0.9888553619384766,0.022229919210076332,0.09322738647460938,0.9888553619384766,0.022229919210076332,6.705522537231445e-08,1.1920928955078125e-07,9.313225746154785e-09,1.3709118913603721e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000001192092896,-2.0731934569084842e-07,-3.9253340133882375e-08,0.0,1.9801680650743947e-07,0.9993253350257874,-0.03672792762517929,0.0,4.1664478089842305e-08,0.036727920174598694,0.999325156211853,0.0,1.4555672578353551e-06,-1.0498102938072407e-06,1.26379347875627e-07,1.0,0.9999999999999778,-2.0731932097645484e-07,-3.9253335454519274e-08,0.0,2.0573774945025405e-07,0.9993253021019741,-0.036727926415139854,0.0,4.68412600768576e-08,0.03672792641513096,0.9993253021019946,0.0,1.4555672578353551e-06,-1.0498102938072407e-06,1.26379347875627e-07,1.0,-0.008764993399381638,0.07566571235656738,0.002077680779621005,-0.07569176703691483,-0.008778278715908527,0.00037386437179520726,0.0006105926586315036,-0.002020818879827857,0.07617074996232986
