ptnum,in1_ptnum,name,parent_idx,child_indices,depth,child_count,is_leaf,P_x,P_y,P_z,pos_root_x,pos_root_y,pos_root_z,vec_parent_x,vec_parent_y,vec_parent_z,bone_len,scale_x,scale_y,scale_z,orient_0,orient_1,orient_2,orient_3,rotate_x,rotate_y,rotate_z,translate_x,translate_y,translate_z,localtransform_0,localtransform_1,localtransform_2,localtransform_3,localtransform_4,localtransform_5,localtransform_6,localtransform_7,localtransform_8,localtransform_9,localtransform_10,localtransform_11,localtransform_12,localtransform_13,localtransform_14,localtransform_15,localtransform_clean_0,localtransform_clean_1,localtransform_clean_2,localtransform_clean_3,localtransform_clean_4,localtransform_clean_5,localtransform_clean_6,localtransform_clean_7,localtransform_clean_8,localtransform_clean_9,localtransform_clean_10,localtransform_clean_11,localtransform_clean_12,localtransform_clean_13,localtransform_clean_14,localtransform_clean_15,transform_0,transform_1,transform_2,transform_3,transform_4,transform_5,transform_6,transform_7,transform_8
0,54,Hips,-1,1|55|60,0,3,0,0.0,0.6683648824691772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33299997448921204,0.0,0.0,0.0,0.0,0.33299997448921204,0.0,0.0,0.0,0.0,0.33299997448921204,0.0,0.0,0.6683648824691772,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6683648824691772,0.0,1.0,0.33299997448921204,0.0,0.0,0.0,0.33299997448921204,0.0,0.0,0.0,0.33299997448921204
1,53,Spine,0,2,1,1,0,0.0,0.7799199223518372,-0.024275699630379677,0.0,0.11155503988265991,-0.024275699630379677,0.0,0.11155503988265991,-0.024275699630379677,0.11416582901974767,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9771384596824646,-0.21260406076908112,0.0,0.0,0.21260406076908112,0.9771384596824646,0.0,0.0,0.3350001573562622,-0.07290000468492508,1.0,1.0,0.0,0.0,0.0,0.0,0.9771384323000547,-0.2126040548112647,0.0,-0.0,0.21260405481126476,0.9771384323000549,0.0,0.0,0.3350001573562622,-0.07290000468492508,1.0,0.33299997448921204,0.0,0.0,0.0,0.3253870904445648,-0.0707971453666687,0.0,0.0707971453666687,0.3253870904445648
2,52,Spine1,1,3,2,1,0,0.0,0.9100422263145447,-0.05258747935295105,0.0,0.24167734384536743,-0.05258747935295105,0.0,0.13012230396270752,-0.028311779722571373,0.13316670326933325,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.167504009142624e-17,0.0,0.0,-4.167504009142624e-17,1.0,0.0,0.0,0.39990001916885376,3.5944713872027023e-10,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.167504009142624e-17,0.0,0.0,-4.167504009142624e-17,1.0,0.0,0.0,0.39990001916885376,3.5944713872027023e-10,1.0,0.33299997448921204,0.0,0.0,0.0,0.3253870904445648,-0.0707971453666687,0.0,0.0707971453666687,0.3253870904445648
3,49,Spine2,2,4|7|31,3,3,0,0.0,1.058776617050171,-0.08494885265827179,0.0,0.39041173458099365,-0.08494885265827179,0.0,0.14873439073562622,-0.03236137330532074,0.15221424857648597,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4570998549461365,-2.5436930783939715e-08,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4570998549461365,-2.5436930783939715e-08,1.0,0.33299997448921204,0.0,0.0,0.0,0.3253870904445648,-0.0707971453666687,0.0,0.0707971453666687,0.3253870904445648
4,2,Neck,3,5,4,1,0,0.0,1.226090669631958,-0.12135274708271027,0.0,0.5577257871627808,-0.12135274708271027,0.0,0.1673140525817871,-0.03640389442443848,0.17122860660709321,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9771384000778198,0.21260403096675873,0.0,0.0,-0.21260403096675873,0.9771384000778198,0.0,0.0,0.5142000317573547,1.34369404491963e-10,1.0,1.0,0.0,0.0,0.0,0.0,0.9771384357971377,0.2126040387385042,0.0,0.0,-0.2126040387385042,0.9771384357971377,0.0,0.0,0.5142000317573547,1.34369404491963e-10,1.0,0.33299997448921204,0.0,0.0,0.0,0.33299997448921204,0.0,0.0,0.0,0.33299997448921204
5,1,Head,4,6,5,1,0,0.0,1.4360138177871704,-0.05808274820446968,0.0,0.7676489353179932,-0.05808274820446968,0.0,0.2099231481552124,0.06326999887824059,0.21925058925678587,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.3919466130158554e-17,0.0,0.0,6.162975822039155e-33,1.0,0.0,0.0,0.6303998827934265,0.1900000125169754,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.3919466130158554e-17,0.0,0.0,-1.3919466130158554e-17,1.0,0.0,0.0,0.6303998827934265,0.1900000125169754,1.0,0.33299997448921204,0.0,0.0,0.0,0.33299997448921204,0.0,0.0,0.0,0.33299997448921204
6,0,HeadTop_End,5,,6,0,1,0.0,2.295153856277466,0.20092463493347168,0.0,1.6267889738082886,0.20092463493347168,0.0,0.8591400384902954,0.25900738313794136,0.8973329539569305,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.083873465704508e-20,0.0,0.0,0.0,1.0,0.0,0.0,2.580000400543213,0.7778000235557556,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.083873465704508e-20,0.0,0.0,-2.083873465704508e-20,1.0,0.0,0.0,2.580000400543213,0.7778000235557556,1.0,0.33299997448921204,0.0,0.0,0.0,0.33299997448921204,0.0,0.0,0.0,0.33299997448921204
7,4,LeftShoulder,3,8,4,1,0,0.13316670060157776,1.1938860416412354,-0.12119561433792114,0.13316670060157776,0.5255211591720581,-0.12119561433792114,0.13316670060157776,0.13510942459106445,-0.03624676167964935,0.1931366213194693,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.028032967820763588,-0.0039004033897072077,-0.9995995163917542,0.0,0.9910090565681458,-0.13098348677158356,-0.027280963957309723,0.0,-0.13082459568977356,-0.9913769364356995,0.007537181954830885,0.0,0.39990001916885376,0.41960006952285767,-0.020099980756640434,1.0,-0.028032964266154918,-0.0039004028951321133,-0.9995993896415245,0.0,0.9910091185565981,-0.1309834949508586,-0.027280963841714134,0.0,-0.1308246148556417,-0.9913768763228815,0.00753719046853398,0.0,0.39990001916885376,0.41960006952285767,-0.020099980756640434,1.0,-0.009334977716207504,-0.07203792780637741,-0.32498061656951904,0.3300060033798218,-0.044551748782396317,0.0003963829076383263,-0.04356459155678749,-0.3220476508140564,0.07263915985822678
8,18,LeftArm,7,9,5,1,0,0.40324363112449646,1.1574249267578125,-0.12087121605873108,0.40324363112449646,0.48906004428863525,-0.12087121605873108,0.2700769305229187,-0.03646111488342285,0.0003243982791900635,0.2725271849439376,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9980447292327881,0.02043423242866993,-0.059068724513053894,0.0,-0.028032967820763588,0.9910091161727905,-0.13082461059093475,0.0,0.05586433410644531,0.1322246640920639,0.9896442294120789,0.0,-2.068232163310313e-08,0.8184000253677368,-1.1327860960363978e-07,1.0,0.9980447523774973,0.020434232902540844,-0.05906872588286069,0.0,-0.028032965627350487,0.9910091190146153,-0.1308246110944419,0.0,0.05586434542600143,0.1322246881469603,0.9896442829393619,0.0,-2.068232163310313e-08,0.8184000253677368,-1.1327860960363978e-07,1.0,7.798449538454969e-18,-0.05378451198339462,-0.3286277949810028,0.33299997448921204,1.5240751501091557e-17,8.250845368808183e-18,4.953459594327234e-17,-0.3286277949810028,0.05378451198339462
9,17,LeftForeArm,8,10,6,1,0,0.5747719407081604,1.1574249267578125,-0.12087121605873108,0.5747719407081604,0.48906004428863525,-0.12087121605873108,0.17152830958366394,0.0,0.0,0.17152830958366394,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999198913574219,-6.072954254827926e-17,0.01265658251941204,0.0,4.444567493572771e-17,1.0,4.157411876273885e-16,0.0,-0.01265658251941204,-3.950173089629504e-16,0.9999198913574219,0.0,0.0,0.5151000618934631,0.0,1.0,0.999919902249895,-6.072954320982716e-17,0.01265658265728457,0.0,5.5470357380152124e-17,1.0,4.158807336093359e-16,0.0,-0.01265658265728457,-4.1514535733505076e-16,0.999919902249895,0.0,0.0,0.5151000618934631,0.0,1.0,-9.05707266926463e-18,-0.05793950706720352,-0.32792073488235474,0.33299997448921204,-1.2377426436942094e-16,1.6673423358949725e-17,-7.990109437053098e-17,-0.32792073488235474,0.05793950706720352
