ptnum,in1_ptnum,name,parent_idx,child_indices,depth,child_count,is_leaf,P_x,P_y,P_z,pos_root_x,pos_root_y,pos_root_z,vec_parent_x,vec_parent_y,vec_parent_z,bone_len,scale_x,scale_y,scale_z,orient_0,orient_1,orient_2,orient_3,rotate_x,rotate_y,rotate_z,translate_x,translate_y,translate_z,localtransform_0,localtransform_1,localtransform_2,localtransform_3,localtransform_4,localtransform_5,localtransform_6,localtransform_7,localtransform_8,localtransform_9,localtransform_10,localtransform_11,localtransform_12,localtransform_13,localtransform_14,localtransform_15,localtransform_clean_0,localtransform_clean_1,localtransform_clean_2,localtransform_clean_3,localtransform_clean_4,localtransform_clean_5,localtransform_clean_6,localtransform_clean_7,localtransform_clean_8,localtransform_clean_9,localtransform_clean_10,localtransform_clean_11,localtransform_clean_12,localtransform_clean_13,localtransform_clean_14,localtransform_clean_15,transform_0,transform_1,transform_2,transform_3,transform_4,transform_5,transform_6,transform_7,transform_8
0,220,afrika_man,-1,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999403953552,0.0,0.0,0.0,0.0,0.09999999403953552,1.6292068139023286e-08,0.0,0.0,-1.6292068139023286e-08,0.09999999403953552,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9999999999999867,1.629206911010606e-07,0.0,0.0,-1.6292069110106064e-07,0.9999999999999869,0.0,0.0,0.0,0.0,1.0,0.09999999403953552,0.0,0.0,0.0,0.09999999403953552,1.6292068139023286e-08,0.0,-1.6292068139023286e-08,0.09999999403953552
1,165,root,0,2|163|188,1,3,0,0.0,0.9682601094245911,-0.13455255329608917,0.0,0.9682601094245911,-0.13455255329608917,0.0,0.9682601094245911,-0.13455255329608917,0.9775643350191423,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.682601928710938,-1.345527172088623,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.682601928710938,-1.345527172088623,1.0,0.09999999403953552,0.0,0.0,0.0,0.09999999403953552,1.6292068139023286e-08,0.0,-1.6292068139023286e-08,0.09999999403953552
2,160,spine05,1,3,2,1,0,0.0,0.9784066081047058,-0.06023867428302765,0.0,0.9784066081047058,-0.06023867428302765,0.0,0.010146498680114746,0.07431387901306152,0.07500336025428138,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.10146511346101761,0.7431387901306152,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.10146511346101761,0.7431387901306152,1.0,0.09999999403953552,0.0,0.0,0.0,0.09999999403953552,1.6292068139023286e-08,0.0,-1.6292068139023286e-08,0.09999999403953552
3,159,spine04,2,4,3,1,0,0.0,1.0685160160064697,-0.09359883517026901,0.0,1.0685160160064697,-0.09359883517026901,0.0,0.09010940790176392,-0.033360160887241364,0.09608644923624299,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9010940790176392,-0.33360177278518677,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9010940790176392,-0.33360177278518677,1.0,0.09999999403953552,0.0,0.0,0.0,0.09999999403953552,1.6292068139023286e-08,0.0,-1.6292068139023286e-08,0.09999999403953552
4,158,spine03,3,5,4,1,0,0.0,1.1418042182922363,-0.08375043421983719,0.0,1.1418042182922363,-0.08375043421983719,0.0,0.0732882022857666,0.009848400950431824,0.07394695122559085,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7328820824623108,0.09848389774560928,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7328820824623108,0.09848389774560928,1.0,0.09999999403953552,0.0,0.0,0.0,0.09999999403953552,1.6292068139023286e-08,0.0,-1.6292068139023286e-08,0.09999999403953552
5,157,spine02,4,6|8|10,5,3,0,0.0,1.2054457664489746,-0.09245828539133072,0.0,1.2054457664489746,-0.09245828539133072,0.0,0.06364154815673828,-0.00870785117149353,0.06423451816438977,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6364154815673828,-0.08707862347364426,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6364154815673828,-0.08707862347364426,1.0,0.09999999403953552,0.0,0.0,0.0,0.09999999403953552,1.6292068139023286e-08,0.0,-1.6292068139023286e-08,0.09999999403953552
6,155,breast_L,5,7,6,1,0,-7.321981684071943e-06,1.3480454683303833,-0.11538281291723251,-7.321981684071943e-06,1.3480454683303833,-0.11538281291723251,-7.321981684071943e-06,0.1425997018814087,-0.022924527525901794,0.144430637305815,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.872143030166626,-9.101502002420176e-15,0.48925086855888367,0.0,0.0,0.9999999403953552,1.2138537787767523e-14,0.0,-0.48925086855888367,6.16456475913108e-15,-0.872143030166626,0.0,-7.321982411667705e-05,1.425997018814087,-0.22924552857875824,1.0,-0.8721430836055177,-9.101502560097258e-15,0.48925089853679243,0.0,-2.7583371228451932e-15,1.0,1.3685898045728253e-14,0.0,-0.48925089853679254,1.0586542407692768e-14,-0.872143083605518,0.0,-7.321982411667705e-05,1.425997018814087,-0.22924552857875824,1.0,-0.08721429854631424,-7.97090926596411e-09,0.04892508313059807,0.0,0.09999998658895493,1.6292068139023286e-08,-0.04892508313059807,1.4209014409516385e-08,-0.08721429854631424
7,153,breast_L_end,6,,7,0,1,-7.321981684071943e-06,1.3540606498718262,-0.11538281291723251,-7.321981684071943e-06,1.3540606498718262,-0.11538281291723251,0.0,0.006015181541442871,0.0,0.006015181541442871,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.3234889800848443e-23,5.551115123125783e-17,0.0,1.3234889800848443e-23,1.0,0.0,0.0,0.0,2.6469779601696886e-23,1.0,0.0,-4.794647345818248e-09,0.06015182286500931,8.546982677160031e-09,1.0,1.0,-1.3234889800848443e-23,5.551115123125783e-17,0.0,1.3234889800848443e-23,1.0,0.0,0.0,-5.551115123125783e-17,7.346839692639297e-40,1.0,0.0,-4.794647345818248e-09,0.06015182286500931,8.546982677160031e-09,1.0,-0.08721429854631424,-7.97090926596411e-09,0.04892508313059807,-1.459443852010098e-24,0.09999998658895493,1.6292068139023286e-08,-0.04892508313059807,1.4209014409516385e-08,-0.08721429854631424
8,154,breast_R,5,9,6,1,0,7.321981684071943e-06,1.3480454683303833,-0.11538281291723251,7.321981684071943e-06,1.3480454683303833,-0.11538281291723251,7.321981684071943e-06,0.1425997018814087,-0.022924527525901794,0.144430637305815,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.872143030166626,9.101502002420176e-15,-0.48925086855888367,0.0,0.0,0.9999999403953552,1.2138537787767523e-14,0.0,0.48925086855888367,6.16456475913108e-15,-0.872143030166626,0.0,7.321982411667705e-05,1.425997018814087,-0.22924552857875824,1.0,-0.8721430836055177,9.101502560097258e-15,-0.48925089853679243,0.0,2.7583371228451932e-15,1.0,1.3685898045728253e-14,0.0,0.48925089853679254,1.0586542407692768e-14,-0.872143083605518,0.0,7.321982411667705e-05,1.425997018814087,-0.22924552857875824,1.0,-0.08721429854631424,7.97090926596411e-09,-0.04892508313059807,0.0,0.09999998658895493,1.6292068139023286e-08,0.04892508313059807,1.4209014409516385e-08,-0.08721429854631424
9,152,breast_R_end,8,,7,0,1,7.321981684071943e-06,1.3540606498718262,-0.11538281291723251,7.321981684071943e-06,1.3540606498718262,-0.11538281291723251,0.0,0.006015181541442871,0.0,0.006015181541442871,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.3234889800848443e-23,-5.551115123125783e-17,0.0,-1.3234889800848443e-23,1.0,0.0,0.0,0.0,2.6469779601696886e-23,1.0,0.0,4.794647345818248e-09,0.06015182286500931,8.546982677160031e-09,1.0,1.0,1.3234889800848443e-23,-5.551115123125783e-17,0.0,-1.3234889800848443e-23,1.0,0.0,0.0,5.551115123125783e-17,7.346839692639297e-40,1.0,0.0,4.794647345818248e-09,0.06015182286500931,8.546982677160031e-09,1.0,-0.08721429854631424,7.97090926596411e-09,-0.04892508313059807,1.459443852010098e-24,0.09999998658895493,1.6292068139023286e-08,0.04892508313059807,1.4209014409516385e-08,-0.08721429854631424
10,156,spine01,5,11|42|73,6,3,0,0.0,1.348035454750061,-0.11537071317434311,0.0,1.348035454750061,-0.11537071317434311,0.0,0.14258968830108643,-0.02291242778301239,0.14441883033978895,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4258968830108643,-0.2291245311498642,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4258968830108643,-0.2291245311498642,1.0,0.09999999403953552,0.0,0.0,0.0,0.09999999403953552,1.6292068139023286e-08,0.0,-1.6292068139023286e-08,0.09999999403953552
11,141,clavicle_L,10,12,7,1,0,0.02404242940247059,1.4863333702087402,-0.03846286982297897,0.02404242940247059,1.4863333702087402,-0.03846286982297897,0.02404242940247059,0.1382979154586792,0.07690784335136414,0.16005988941876326,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9970385432243347,-9.948634899562252e-16,0.07690277695655823,0.0,0.0,1.0,0.0,0.0,-0.07690277695655823,-6.303408282262637e-15,0.9970385432243347,0.0,0.24042430520057678,1.382979393005371,0.769078254699707,1.0,0.9970385961777869,-9.948635427941588e-16,0.07690278104092142,0.0,9.919173500959478e-16,1.0,7.650777319709456e-17,0.0,-0.07690278104092144,0.0,0.9970385961777871,0.0,0.24042430520057678,1.382979393005371,0.769078254699707,1.0,0.099703848361969,-1.2529053350363029e-09,0.007690276950597763,0.0,0.09999999403953552,1.6292068139023286e-08,-0.007690276950597763,-1.6243820510908336e-08,0.099703848361969
12,91,shoulder01_L,11,13,8,1,0,0.11218588799238205,1.513308048248291,-0.039261527359485626,0.11218588799238205,1.513308048248291,-0.039261527359485626,0.08814345858991146,0.02697467803955078,-0.0007986575365066528,0.09218210456151171,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9902932047843933,6.697006705159818e-16,-0.13899412751197815,0.0,-1.6543612251060553e-24,1.0,0.0,0.0,0.13899412751197815,-1.3678649514882023e-14,0.9902932047843933,0.0,0.878210186958313,0.2697467803955078,-0.07574774324893951,1.0,0.9902932053166955,6.697006708759591e-16,-0.13899412758669025,0.0,-6.632000239964561e-16,1.0,9.308446026491067e-17,0.0,0.13899412758669025,2.2994649507326344e-25,0.9902932053166955,0.0,0.878210186958313,0.2697467803955078,-0.07574774324893951,1.0,0.09980494529008865,1.0170522202201937e-09,-0.006242621224373579,-1.9954377113414236e-25,0.09999999403953552,1.6292068139023286e-08,0.006242621224373579,-1.6260292667880094e-08,0.09980494529008865
13,131,upperarm01_L,12,14,9,1,0,0.20267458260059357,1.4948482513427734,-0.045194778591394424,0.20267458260059357,1.4948482513427734,-0.045194778591394424,0.09048869460821152,-0.018459796905517578,-0.005933251231908798,0.09254280860159839,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999940991401672,2.1789548682480002e-17,0.0034384068567305803,0.0,-1.6543612251060553e-24,1.0,0.0,0.0,-0.0034384068567305803,1.2713697722908663e-14,0.9999940991401672,0.0,0.9068260788917542,-0.18459798395633698,-0.002728087594732642,1.0,0.9999940886617957,2.178954845415967e-17,0.003438406820701463,0.0,-2.1789419648788998e-17,1.0,-7.492132633645434e-20,0.0,-0.003438406820701463,-5.688366919728553e-27,0.9999940886617957,0.0,0.9068260788917542,-0.18459798395633698,-0.002728087594732642,1.0,0.09982582181692123,9.611367257633674e-10,-0.005899414420127869,-2.655740420028896e-25,0.09999999403953552,1.6292068139023286e-08,0.005899414420127869,-1.6263692614870706e-08,0.09982582181692123
14,145,upperarm02_L,13,15,10,1,0,0.2709904909133911,1.483925700187683,-0.04960891231894493,0.2709904909133911,1.483925700187683,-0.04960891231894493,0.06831590831279755,-0.010922551155090332,-0.004414133727550507,0.06932423839396164,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9982070326805115,-7.319148831497855e-17,0.05985657498240471,0.0,1.6543612251060553e-24,1.0,-2.6469779601696886e-23,0.0,-0.05985657498240471,-3.7158567772437707e-17,0.9982070326805115,0.0,0.6845734119415283,-0.10922552645206451,-0.003762050298973918,1.0,0.9982069879301666,-7.319148503375107e-17,0.059856572298991065,0.0,7.306025340515323e-17,1.0,4.3809649418029725e-18,0.0,-0.059856572298991065,2.652134335995156e-23,0.9982069879301666,0.0,0.6845734119415283,-0.10922552645206451,-0.003762050298973918,1.0,0.09999995678663254,-1.4075473425689822e-11,8.639463339932263e-05,-2.392649638199932e-25,0.09999999403953552,1.6292068139023286e-08,-8.639463339932263e-05,-1.6292062809952768e-08,0.09999995678663254
